,btc_open,btc_close,btc_high,btc_low,btc_volume,btc_amount,eth_open,eth_close,eth_high,eth_low,eth_volume,eth_amount,xrp_open,xrp_close,xrp_high,xrp_low,xrp_volume,xrp_amount,Open,High,Low,Close,Adj Close,Volume,usdcny
2019-11-01,9226.0,9287.4,9368.3,9190.0,454.55368687,4212773.673659011,182.85,182.99,185.54,181.51,7768.92031391,1421644.6806699696,0.29145,0.29465,0.29728,0.29117,1183594.45076999,347757.2408429153,3050.719970703125,3066.949951171875,3050.719970703125,3066.909912109375,3066.909912109375,3930200000,7.041924768830237
2019-11-04,9394.8,9308.9,9453.0,9180.9,783.19350288,7300795.800110376,185.78,188.68,192.04,182.5,14854.90896813,2783046.851230264,0.29867,0.30044,0.30423,0.29506,2250816.10470741,676241.8972186291,3078.9599609375,3085.199951171875,3074.8701171875,3078.27001953125,3078.27001953125,4146850000,7.028589352930633
2019-11-05,9308.7,9335.6,9430.3,9253.6,604.29063677,5639802.538723022,188.68,191.11,194.28,187.87,12007.28083369,2291207.6254779897,0.30061,0.31038,0.31341,0.29673,2213058.61928118,670198.2549774651,3080.800048828125,3083.949951171875,3072.14990234375,3074.6201171875,3074.6201171875,4486130000,6.997389504005761
2019-11-06,9335.7,9214.2,9370.0,9060.0,554.51729663,5119765.272643802,191.13,186.74,192.2,185.0,9753.37732156,1831745.3611506051,0.31017,0.29047,0.31478,0.27531,5767162.0493712,1691343.767651221,3075.10009765625,3078.340087890625,3065.889892578125,3076.780029296875,3076.780029296875,4458190000,6.355785232547955
2019-11-07,9214.3,8774.2,9258.2,8650.0,784.21228475,7020298.90823426,186.74,183.73,188.18,181.5,10404.13910217,1923360.3899027046,0.29049,0.27534,0.29086,0.27103,2767858.97123095,774548.7416414447,3087.02001953125,3097.77001953125,3080.22998046875,3085.179931640625,3085.179931640625,4144640000,6.975805723571365
2019-11-08,8774.2,8808.4,8875.0,8726.0,508.15135114,4475409.876891204,183.8,184.87,185.72,182.62,9751.86286449,1799352.491661506,0.27519,0.27976,0.28148,0.27459,1414238.51072245,393828.69543533714,3081.25,3093.090087890625,3073.580078125,3093.080078125,3093.080078125,3499150000,6.988852637302882
2019-11-11,8733.9,8812.7,8872.7,8550.0,589.07995405,5143719.766612893,184.98,187.05,187.41,182.55,12529.80516723,2326496.775992213,0.2742,0.27228,0.27613,0.26779,1569420.45212239,427174.46606121457,3080.330078125,3088.330078125,3075.820068359375,3087.010009765625,3087.010009765625,3035530000,7.010596866225885
2019-11-12,8812.7,8776.6,8834.8,8711.2,475.60706489,4168347.532066957,187.02,188.08,189.5,185.14,9826.90202377,1836539.5349908255,0.27238,0.27188,0.27556,0.27008,1209701.74120609,329656.31945157365,3089.280029296875,3102.610107421875,3084.72998046875,3091.840087890625,3091.840087890625,3466010000,7.007444394008171
2019-11-13,8776.7,8645.9,8799.4,8596.4,535.17107009,4643645.638126785,188.05,184.92,188.62,183.34,9572.75924743,1776496.4696975825,0.27203,0.2678,0.27274,0.26375,1534497.2151288,410835.8930342004,3084.179931640625,3098.06005859375,3078.800048828125,3094.0400390625,3094.0400390625,3509280000,7.021715427948392
2019-11-14,8646.0,8470.9,8780.0,8404.6,668.31997223,5720795.192680856,184.93,180.02,186.66,177.81,11661.99463993,2117807.620805757,0.26795,0.26073,0.26959,0.25317,2652579.26419086,695038.7185042794,3090.75,3098.199951171875,3083.260009765625,3096.6298828125,3096.6298828125,3276070000,7.021005728835138
2019-11-15,8470.9,8490.7,8529.9,8432.4,344.56386418,2921282.132867923,180.02,182.38,183.47,179.35,8504.98205889,1542959.1130979606,0.26072,0.26212,0.26421,0.2592,1316703.48069472,344308.5605941318,3107.919921875,3120.4599609375,3104.60009765625,3120.4599609375,3120.4599609375,3335650000,7.009516041326808
2019-11-18,8188.4,8131.6,8212.6,8010.0,569.69399221,4622781.402363513,178.21,175.93,178.48,172.78,10748.50357735,1886584.498491937,0.25154,0.25388,0.25627,0.24323,1329985.10515177,331226.31348411535,3117.909912109375,3124.169921875,3112.06005859375,3122.030029296875,3122.030029296875,3436690000,7.018262363258295
2019-11-19,8131.9,8095.4,8230.2,8042.1,486.60094066,3946602.277101127,175.95,174.71,177.42,173.53,8470.44262879,1487837.1409319323,0.25388,0.25038,0.25845,0.24828,1445549.38204111,364578.483280676,3127.449951171875,3127.639892578125,3113.469970703125,3120.179931640625,3120.179931640625,3590070000,7.026180373747405
2019-11-20,8095.5,7626.3,8132.3,7500.0,827.19546719,6457484.088118483,174.76,161.03,175.87,157.72,14859.03509503,2462561.69905034,0.2503,0.24326,0.2533,0.23673,3252193.67800298,791224.5791551566,3114.659912109375,3118.969970703125,3091.409912109375,3108.4599609375,3108.4599609375,4034890000,7.033728185188534
2019-11-21,7626.3,7265.5,7758.5,6801.0,1745.48384183,12633149.404207869,161.05,149.61,162.81,138.0,34143.36363043,5160319.154187127,0.24326,0.23022,0.24561,0.22136,4716846.30975764,1098563.6168654698,3108.489990234375,3110.110107421875,3094.550048828125,3103.5400390625,3103.5400390625,3720560000,7.026688305833559
2019-11-22,7265.2,7310.8,7341.3,7078.9,784.67654433,5669430.142806819,149.6,151.78,154.31,145.97,16443.03621035,2470621.9020919898,0.23014,0.23392,0.23524,0.22535,1652187.30946644,381234.24845584447,3111.409912109375,3112.8701171875,3099.260009765625,3110.2900390625,3110.2900390625,3226780000,7.0387050099475506
2019-11-25,7109.6,7155.6,7334.6,7022.6,994.38756228,7099263.110380133,145.66,147.48,149.75,143.68,12986.2752511,1901401.5673345148,0.2175,0.22057,0.22181,0.21354,2265297.36354246,493747.20869252976,3117.43994140625,3133.830078125,3117.43994140625,3133.639892578125,3133.639892578125,3511530000,7.036155523255814
2019-11-26,7155.5,7508.0,7652.0,6850.2,1491.046726,10868090.491439478,147.5,152.57,155.57,140.96,18122.92034886,2688010.3119255444,0.2205,0.22417,0.22958,0.21266,2753010.5580953,607260.3676247433,3134.85009765625,3142.68994140625,3131.0,3140.52001953125,3140.52001953125,4595590000,7.0395644283121594
2019-11-27,7509.3,7419.7,7634.5,7366.0,904.24769975,6783209.477729679,152.6,150.7,154.53,149.13,10664.52590736,1623282.9224602769,0.2239,0.2234,0.2293,0.22253,2091910.01165261,472389.7369921924,3145.489990234375,3154.260009765625,3143.409912109375,3153.6298828125,3153.6298828125,3033090000,7.026342083749659
2019-11-29,7739.5,7544.8,7796.4,7452.8,708.63726628,5402901.043642289,154.5,151.45,155.25,149.76,8622.36360039,1316515.5570812512,0.22991,0.22551,0.23181,0.22359,1619053.04127045,367527.4524871824,3147.179931640625,3150.300048828125,3139.340087890625,3140.97998046875,3140.97998046875,1743020000,7.027135312329266
